Location,Date_Time,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh,Month,Year
Chicago,05-03-2024 19:08,-2.584092067,33.05959787,0.220341533,12.46244226,March,2024
Los Angeles,06-02-2024 19:02,31.73056676,65.33243678,3.673384684,19.71032549,February,2024
San Jose,27-02-2024 23:17,34.88256215,51.26609075,8.170773092,28.58185587,February,2024
New York,16-03-2024 08:16,30.70803958,54.76298745,6.051314925,4.723509363,March,2024
New York,04-05-2024 06:50,6.926827238,85.18748934,4.983685023,13.20394537,May,2024
New York,16-02-2024 04:53,35.45401366,48.50552448,6.041030922,20.96640089,February,2024
San Antonio,13-04-2024 01:17,35.20538644,76.33970377,8.649920784,1.516557604,April,2024
Los Angeles,06-01-2024 19:12,33.33541654,83.38480071,4.580279155,17.43262832,January,2024
San Antonio,05-03-2024 22:47,33.31303823,74.84844146,6.77100976,14.7300668,March,2024
San Jose,18-01-2024 07:59,32.77500795,78.27035012,2.171005951,0.667236877,January,2024
Dallas,15-01-2024 12:05,-2.994002146,58.63210533,3.698849637,20.08018362,January,2024
San Antonio,13-03-2024 22:42,18.25073612,89.90912122,5.597309931,18.7553257,March,2024
Dallas,15-04-2024 13:57,-8.956553013,80.73161943,2.552757895,4.020764669,April,2024
Chicago,22-01-2024 01:57,15.80199893,51.62227631,1.258271331,23.72235752,January,2024
Houston,04-04-2024 23:04,20.32075671,65.54468591,1.963732183,19.64002961,April,2024
Philadelphia,25-04-2024 01:43,-5.129359587,66.58527292,1.554025508,9.958618676,April,2024
Los Angeles,17-05-2024 09:13,-3.089434138,58.55910059,5.329172081,20.47403476,May,2024
Houston,17-02-2024 18:32,32.60828834,39.6713564,8.453786764,18.49945788,February,2024
Dallas,17-02-2024 00:26,13.23432107,80.16050747,7.893232502,19.61476474,February,2024
Houston,06-03-2024 21:37,37.51556044,75.94624315,0.034862375,24.30661696,March,2024
Los Angeles,05-05-2024 12:20,29.29222243,37.25006398,1.715967561,21.52929786,May,2024
San Diego,02-02-2024 10:25,38.19855791,84.96510097,2.753189784,13.67604628,February,2024
Phoenix,30-04-2024 06:09,1.174859018,59.38993865,1.879023698,4.159059657,April,2024
Los Angeles,03-04-2024 08:14,-3.99763725,71.73905344,5.163653941,20.26335366,April,2024
Philadelphia,28-01-2024 04:20,1.261871974,31.19578807,7.476354663,18.37136893,January,2024
Philadelphia,10-05-2024 11:49,20.95291805,45.51755185,9.645094702,13.03656583,May,2024
Houston,16-04-2024 20:54,24.26456868,87.39781381,4.183074542,22.97140224,April,2024
Houston,16-04-2024 13:05,29.86689896,61.01892777,2.160635538,22.40361815,April,2024
San Jose,22-01-2024 20:21,10.09839464,68.8909953,5.010062451,2.740234977,January,2024
San Antonio,05-01-2024 03:41,34.36168343,39.63143166,6.322696188,15.45202063,January,2024
San Diego,24-02-2024 16:53,-8.248509048,58.04193535,4.204966179,8.196800137,February,2024
San Diego,18-04-2024 04:13,0.328006372,82.21373173,2.599194955,24.22584198,April,2024
San Jose,26-02-2024 05:58,15.80875446,34.91319187,0.738384621,14.92487277,February,2024
San Diego,10-03-2024 06:11,18.52254062,82.75321579,4.054785917,1.96251633,March,2024
Phoenix,15-03-2024 01:15,-6.095629317,54.08685742,1.591349071,2.985199143,March,2024
Houston,17-02-2024 09:34,16.94164686,52.75535247,5.813487824,11.80286795,February,2024
Chicago,10-04-2024 21:27,2.689431207,46.1896939,3.370443906,10.96342235,April,2024
Philadelphia,14-01-2024 23:48,5.415682191,79.80635111,9.980316289,25.58998621,January,2024
Phoenix,09-01-2024 20:59,0.322623027,38.27860163,11.87824649,29.03867206,January,2024
Chicago,08-01-2024 16:30,26.46376107,38.67411043,6.023869393,9.297149341,January,2024
Chicago,16-02-2024 05:35,8.353215545,31.26483905,0.653020729,13.07842523,February,2024
Houston,18-01-2024 08:48,24.48272813,35.9923939,4.297327574,23.19576459,January,2024
Phoenix,02-02-2024 02:53,7.803269145,76.85895656,13.98165648,12.36436816,February,2024
San Antonio,02-05-2024 03:49,15.85404486,56.8098298,7.864779614,6.738186624,May,2024
Houston,03-02-2024 02:14,30.23386954,54.6647669,0.209520589,1.633426206,February,2024
New York,18-05-2024 16:41,7.420745382,72.93178446,1.850579594,9.344053207,May,2024
Phoenix,16-02-2024 22:11,13.2349928,71.3666695,7.338217367,16.18438717,February,2024
Dallas,13-05-2024 04:18,-6.231269,78.58548598,1.723066231,24.15165031,May,2024
New York,14-02-2024 20:17,-2.923340726,63.3064934,2.733319673,16.56758127,February,2024
Dallas,11-02-2024 10:16,18.71870549,67.43264235,2.072488126,7.48315453,February,2024
Dallas,08-02-2024 19:49,16.6800304,36.73655884,3.85559241,3.396631435,February,2024
San Antonio,01-02-2024 13:10,36.56016748,72.45866913,7.952817813,9.953895577,February,2024
Los Angeles,02-04-2024 21:49,11.95893884,40.42690481,5.676112997,2.672287015,April,2024
New York,27-04-2024 17:15,30.18074558,60.32128532,9.058983911,7.082690989,April,2024
Phoenix,05-05-2024 17:05,-6.74887206,79.56149043,1.113297098,17.85076419,May,2024
San Antonio,16-05-2024 04:17,-2.564242532,88.86662647,9.163437606,26.41474721,May,2024
San Antonio,05-02-2024 03:56,38.59503895,80.88425542,4.459529751,10.75664702,February,2024
San Antonio,08-04-2024 18:01,10.46620506,71.17851293,7.730034259,21.40825879,April,2024
Houston,19-03-2024 20:05,19.28608973,70.0887321,0.032032485,29.61049551,March,2024
Chicago,14-03-2024 09:43,1.210507425,45.24440608,8.837098632,18.29268011,March,2024
San Antonio,17-05-2024 08:02,24.00555762,80.66186045,7.691595886,24.85404955,May,2024
Los Angeles,09-04-2024 01:55,21.40590492,82.25004758,4.722119744,20.52588958,April,2024
Phoenix,18-01-2024 11:27,12.11286412,62.35151021,3.269200204,4.864753467,January,2024
Los Angeles,12-02-2024 02:07,36.52896112,41.32246802,8.630617034,25.84949402,February,2024
Chicago,21-04-2024 12:26,25.40140851,84.48593654,0.516861603,17.6395275,April,2024
Dallas,05-03-2024 02:38,14.07109551,51.23271098,9.27650776,13.34338432,March,2024
Chicago,19-04-2024 09:02,16.50507554,36.45122266,6.066320947,18.53570204,April,2024
San Diego,22-01-2024 06:07,14.69839701,31.23925298,5.821977372,2.878175352,January,2024
Phoenix,19-03-2024 11:38,-2.989654316,65.91771969,4.649643446,4.920762731,March,2024
Houston,10-04-2024 09:10,10.59118264,48.71721312,2.836441114,0.126086145,April,2024
Chicago,24-03-2024 19:05,-8.370659764,63.08671031,1.558335067,6.210432703,March,2024
New York,14-01-2024 09:27,24.36024296,45.71420844,0.803966072,29.60974167,January,2024
San Antonio,13-04-2024 16:14,5.763065333,61.44801139,1.206712006,23.82855634,April,2024
Houston,27-04-2024 19:12,-6.905312401,54.60398581,4.535152636,27.47975027,April,2024
Philadelphia,25-03-2024 15:01,35.44085695,61.55671569,0.938801675,15.22427833,March,2024
San Jose,06-01-2024 22:05,9.942874361,42.80054563,7.634571185,22.86661471,January,2024
Houston,08-05-2024 01:43,35.69775657,45.00774633,8.203738766,4.318198905,May,2024
Phoenix,04-03-2024 11:07,22.80544122,38.27739323,3.539803798,1.255629955,March,2024
Dallas,08-02-2024 04:48,7.499564777,30.36053964,2.060092668,4.431734126,February,2024
Los Angeles,06-01-2024 22:07,29.51200124,60.66400283,7.985482718,15.76218082,January,2024
San Diego,06-01-2024 19:31,18.36567737,65.59930285,1.177652886,25.7992779,January,2024
San Diego,18-03-2024 09:31,-4.38925548,55.81403932,2.164432408,8.312657785,March,2024
Dallas,28-03-2024 01:25,21.54874078,87.39593013,3.562763608,8.444847701,March,2024
Chicago,13-04-2024 08:56,-0.832961039,84.57543677,3.560780905,18.78517407,April,2024
Los Angeles,16-03-2024 11:08,-4.457750039,52.62900072,2.698527562,4.334863195,March,2024
Houston,08-01-2024 09:42,33.04991172,49.89338851,6.226384894,0.027449008,January,2024
Philadelphia,03-04-2024 16:17,-0.048523451,42.82419982,9.011731234,19.51940374,April,2024
Los Angeles,22-02-2024 17:28,15.58282785,85.13440739,8.006805061,25.70869673,February,2024
Philadelphia,25-01-2024 04:48,-7.35183292,39.76742219,7.075503986,7.321483768,January,2024
San Diego,30-01-2024 04:17,34.17542872,69.03050289,7.032038995,5.093592625,January,2024
Phoenix,23-03-2024 07:38,14.28877492,39.85559338,9.514876811,28.64532315,March,2024
Houston,03-05-2024 07:53,-9.103733714,62.95922655,0.646312734,1.647563823,May,2024
San Diego,05-04-2024 17:00,1.928088702,47.2190543,0.687809261,0.594653078,April,2024
Dallas,31-01-2024 05:27,-9.639583416,45.49023335,1.611569536,29.43389747,January,2024
Houston,23-03-2024 03:10,-6.451858091,38.80300874,0.483712392,19.69307498,March,2024
San Antonio,01-01-2024 01:19,22.05823843,79.17350843,2.350673953,6.946438356,January,2024
Chicago,16-01-2024 07:06,38.50072891,49.02279711,6.101121029,20.18163186,January,2024
Los Angeles,01-04-2024 09:32,-3.487453471,63.79160716,2.040433443,10.53100705,April,2024
New York,16-05-2024 23:02,16.84481677,84.02558925,8.668270803,11.85005199,May,2024
Dallas,14-01-2024 02:38,9.887183366,56.35560789,3.574760877,22.83263175,January,2024
Philadelphia,06-05-2024 06:12,-1.428557518,37.66368255,5.800791989,2.915627099,May,2024
New York,29-03-2024 22:29,8.016448504,63.68312494,2.135885782,12.56456303,March,2024
San Antonio,12-05-2024 11:47,3.537129078,54.45669196,5.492144754,10.61370407,May,2024
Chicago,05-04-2024 03:53,10.16473734,56.41924582,9.852598649,23.85242948,April,2024
San Diego,03-04-2024 22:15,18.23110442,75.87341165,4.559155825,7.858463924,April,2024
San Diego,21-01-2024 06:29,10.78641767,73.57089565,6.654236434,22.94939892,January,2024
Los Angeles,03-01-2024 13:58,21.09658766,39.45657019,2.291670524,11.62872603,January,2024
Chicago,23-03-2024 15:43,28.79219728,69.21279042,2.464356877,7.316576634,March,2024
Houston,28-01-2024 15:39,6.757613231,50.73299996,4.557164065,11.19533076,January,2024
New York,12-01-2024 18:05,5.304322031,58.96354481,6.147167385,22.67692055,January,2024
Dallas,19-02-2024 08:52,3.63855462,46.17683848,3.227999652,5.376813683,February,2024
Los Angeles,13-03-2024 23:10,0.116524771,55.49799019,2.988412687,29.68457692,March,2024
Philadelphia,20-03-2024 18:30,-3.428836662,70.56687947,9.844360918,12.48762487,March,2024
Dallas,11-01-2024 22:58,17.67991482,39.66700867,7.037113987,0.221864582,January,2024
San Antonio,17-04-2024 21:19,3.722745251,72.80249036,6.320160618,23.08302364,April,2024
Houston,05-01-2024 09:19,22.09741373,74.44662237,2.074885855,5.112210296,January,2024
San Diego,20-01-2024 23:48,-2.851690922,37.53787989,0.262789105,28.41753045,January,2024
Phoenix,19-04-2024 20:16,3.124136251,44.91053098,2.688971248,22.82139307,April,2024
Philadelphia,27-04-2024 04:03,24.22070317,50.7826891,1.850146038,27.51474513,April,2024
Los Angeles,09-03-2024 01:20,28.31139651,36.30520085,2.624781221,28.09805508,March,2024
San Antonio,11-02-2024 03:12,2.570531791,78.31148957,1.197063589,1.738902923,February,2024
San Diego,11-01-2024 10:27,5.603809982,46.54356515,4.259917496,17.49358759,January,2024
New York,02-03-2024 04:42,-6.352958809,86.18269373,9.318876409,23.11450192,March,2024
San Jose,16-02-2024 07:39,14.28734303,85.1584342,0.939295774,28.27103681,February,2024
Houston,09-01-2024 23:53,38.66574507,83.79197438,9.845844342,14.59605105,January,2024
San Jose,11-04-2024 17:32,10.32365549,41.98481419,5.407238014,24.88322394,April,2024
Philadelphia,09-02-2024 02:17,3.276437727,67.92462367,5.311581444,4.304584235,February,2024
Philadelphia,23-02-2024 14:13,-9.715766784,72.06648104,0.252919156,0.336127588,February,2024
San Antonio,07-05-2024 18:15,19.4762245,84.45085038,3.931055307,0.114243442,May,2024
Los Angeles,12-01-2024 22:38,19.58685162,32.62039863,0.965590952,6.287645612,January,2024
San Jose,14-02-2024 23:55,24.12480773,67.12579587,3.748825083,8.624139013,February,2024
San Jose,21-01-2024 20:43,20.65781819,87.27192379,6.171265203,25.15453171,January,2024
San Antonio,02-02-2024 08:09,22.49035163,65.66390297,3.493687896,14.25983014,February,2024
San Antonio,07-05-2024 07:20,11.09835441,87.16127133,4.279766627,2.381774671,May,2024
Houston,25-04-2024 07:51,19.94112633,57.55440797,4.525554841,28.84292242,April,2024
San Antonio,11-02-2024 23:21,7.384055524,50.7004151,4.463576236,15.10685284,February,2024
New York,11-05-2024 12:00,36.43867689,33.6103547,8.804365976,27.50745744,May,2024
Los Angeles,19-04-2024 11:15,-4.002277811,86.38576195,8.321605338,3.769103545,April,2024
Houston,17-01-2024 20:29,24.92022269,77.76942081,5.718487372,4.911907795,January,2024
San Jose,28-03-2024 03:37,36.0301348,68.74334688,3.910135047,5.430022938,March,2024
Los Angeles,26-01-2024 04:30,35.27750639,82.19860245,6.604995963,29.14688615,January,2024
Chicago,25-03-2024 03:34,38.47694385,72.84314598,6.897139491,0.298166072,March,2024
Houston,11-05-2024 08:44,19.76863417,78.58070494,8.996857416,2.042707928,May,2024
San Diego,21-03-2024 22:16,3.382441197,52.27838286,1.808698842,8.312178897,March,2024
San Jose,05-01-2024 12:04,17.74667373,67.68483103,1.019996436,16.28896177,January,2024
New York,24-02-2024 14:28,24.28704737,40.99820347,5.724347453,12.24583479,February,2024
Dallas,29-03-2024 04:24,4.467647325,42.25439017,5.346423391,26.11445225,March,2024
New York,03-02-2024 02:06,34.11811543,50.83515011,5.350690553,16.46893376,February,2024
Chicago,29-03-2024 05:06,19.72245663,33.1639971,5.921976019,26.33507361,March,2024
Chicago,10-02-2024 23:50,31.20688943,48.88935091,9.922323329,28.93643248,February,2024
Los Angeles,04-05-2024 22:03,11.06533143,39.30518196,6.90625086,9.387087682,May,2024
Philadelphia,28-04-2024 12:04,38.30445618,32.29864367,2.570482536,22.99661448,April,2024
San Jose,31-03-2024 01:49,19.04436125,74.44176232,9.507525559,22.42997879,March,2024
San Antonio,03-03-2024 05:03,22.21134742,80.13308123,6.49004231,18.04616044,March,2024
Chicago,06-05-2024 16:52,31.53563109,81.22727673,1.029207677,15.80634892,May,2024
San Diego,24-03-2024 17:40,36.89437074,85.15736795,7.968584976,9.270588556,March,2024
New York,30-03-2024 08:16,3.434408409,58.90899895,9.610420096,18.57003588,March,2024
Philadelphia,05-04-2024 14:42,-4.144493169,43.39437867,1.270339603,23.76216945,April,2024
San Antonio,27-02-2024 17:55,30.27333347,64.32394104,3.575072741,20.87437975,February,2024
New York,22-03-2024 06:45,12.67298509,67.3751664,7.942488037,27.54372985,March,2024
Dallas,07-05-2024 14:24,6.015257446,39.59515438,9.958247423,20.81592481,May,2024
Phoenix,15-03-2024 12:07,34.56198874,49.96244469,5.424314463,23.26878488,March,2024
Houston,17-05-2024 07:57,34.70959125,83.56680075,7.830188071,18.69141904,May,2024
Chicago,05-02-2024 00:09,34.59877164,73.5766583,0.962648692,3.036170659,February,2024
Houston,04-03-2024 00:47,-1.086734943,69.12659104,0.925388228,13.1673611,March,2024
Los Angeles,25-04-2024 09:48,36.3637605,67.36980539,8.32715792,8.207211688,April,2024
San Jose,18-03-2024 01:00,17.86335682,74.05191542,5.970904138,14.12085132,March,2024
San Diego,17-01-2024 13:02,-3.733749481,80.15085443,4.113672365,18.35753311,January,2024
Houston,26-02-2024 19:13,-2.294969825,52.76076884,7.108028822,16.6407832,February,2024
Dallas,12-02-2024 00:49,36.13508402,58.04879698,3.916211288,1.620841693,February,2024
San Antonio,13-03-2024 06:40,18.79892503,86.98206705,5.967045565,20.59970276,March,2024
San Diego,27-02-2024 05:28,31.55595188,54.91009985,4.72485508,17.35405247,February,2024
Los Angeles,23-03-2024 17:41,24.72306895,78.37473213,5.428988396,4.775756565,March,2024
Chicago,06-02-2024 06:03,-5.892244619,39.13285713,9.743918975,0.40051176,February,2024
New York,31-03-2024 02:20,39.47396777,54.62465513,2.923340248,28.25858231,March,2024
Phoenix,03-01-2024 14:16,-4.623453227,35.48197572,5.795466856,24.57563677,January,2024
Phoenix,15-04-2024 08:31,-4.931283475,70.11130381,7.185982673,14.59548144,April,2024
Dallas,06-03-2024 04:07,13.49137024,75.18536473,3.534260236,16.20222841,March,2024
Phoenix,28-03-2024 20:33,-5.438359913,54.89915132,4.781891988,20.40967582,March,2024
New York,28-03-2024 19:30,14.2037245,73.03498238,7.233517305,15.77228513,March,2024
Los Angeles,27-04-2024 01:35,8.879097001,49.71254381,7.039752424,10.40550484,April,2024
Phoenix,19-02-2024 11:37,0.358068765,44.74400606,7.135213398,18.74926709,February,2024
New York,10-03-2024 09:28,26.17800839,61.54669174,9.873864273,21.57550475,March,2024
Philadelphia,21-01-2024 22:53,11.22735604,36.93146205,3.775872811,7.616386354,January,2024
Los Angeles,10-01-2024 19:17,30.58616042,83.44651969,0.419537878,18.81694146,January,2024
Houston,31-01-2024 12:09,4.333173162,81.07135335,2.148358804,12.54463558,January,2024
San Jose,23-02-2024 01:46,38.17044893,59.67359179,7.895958135,11.87627972,February,2024
Chicago,16-05-2024 05:23,20.03355089,81.01007902,6.882834635,1.278075564,May,2024
San Diego,17-05-2024 15:28,12.78764058,67.11861535,6.29557498,22.38567347,May,2024
Dallas,05-05-2024 17:16,0.916293422,40.88806681,2.933994217,29.06799625,May,2024
Los Angeles,08-03-2024 05:59,-3.492069458,43.50583966,4.01569343,0.674126578,March,2024
Chicago,20-02-2024 15:27,39.17819468,38.76638145,8.622146264,4.601397544,February,2024
Houston,07-03-2024 04:37,23.78843667,33.32467943,9.976003956,16.05000118,March,2024
New York,12-05-2024 23:35,35.9625657,61.46257577,6.662483791,28.55365547,May,2024
Houston,27-01-2024 18:15,5.282476705,43.8336807,4.814213199,19.15629904,January,2024
San Diego,19-01-2024 18:44,24.75534701,58.84687205,5.909268229,25.84741295,January,2024
Chicago,18-03-2024 10:51,28.33987227,73.41647012,9.842190573,25.73756377,March,2024
New York,28-01-2024 02:34,8.452935925,53.45340204,3.554529417,18.46290662,January,2024
Chicago,08-05-2024 23:02,9.570165179,64.20140308,3.676588782,5.280103778,May,2024
San Antonio,12-01-2024 19:59,16.21174522,73.04924711,7.01982069,29.72438437,January,2024
Houston,01-03-2024 21:39,16.13838571,58.17824724,5.536428107,7.030985896,March,2024
San Jose,16-01-2024 03:34,26.71414539,35.06134192,7.763626949,18.17413997,January,2024
Los Angeles,17-04-2024 14:30,0.797198966,34.46252305,9.700711324,10.35370269,April,2024
Los Angeles,28-03-2024 21:11,22.78315537,42.12301085,9.223346906,22.4068033,March,2024
Houston,01-04-2024 10:52,6.180231107,44.15801124,8.82690427,18.30768694,April,2024
San Diego,10-01-2024 22:05,15.15804812,31.48468918,3.132231492,16.91064569,January,2024
Los Angeles,04-01-2024 06:43,-4.838736044,38.96021821,2.833361238,26.46477606,January,2024
San Jose,11-04-2024 04:11,15.6377947,71.32443463,3.17526504,26.21713575,April,2024
San Antonio,11-05-2024 10:42,18.22980546,61.26423545,9.972563415,19.40544617,May,2024
Phoenix,05-05-2024 13:24,-4.63600788,75.20312064,6.406583847,12.84200426,May,2024
Philadelphia,10-02-2024 22:24,25.92316343,43.98062626,6.110524741,28.88568757,February,2024
Dallas,03-02-2024 13:23,19.1012237,66.20322562,5.102209027,15.95883941,February,2024
Chicago,06-03-2024 09:25,-0.859673147,50.97533502,0.48339745,10.93149314,March,2024
San Jose,05-03-2024 14:52,30.72032293,32.23370388,0.981752984,17.21732411,March,2024
Houston,08-05-2024 04:15,10.15242799,63.37930107,4.284169045,6.283157816,May,2024
Phoenix,08-01-2024 09:55,31.4644661,44.95030716,9.653469194,1.152991748,January,2024
Houston,28-01-2024 04:42,3.900135231,72.12239372,5.913613916,21.37664175,January,2024
San Jose,17-02-2024 04:54,14.87459067,44.45484796,3.429115095,10.28788791,February,2024
Phoenix,19-01-2024 15:01,14.5250213,66.10962808,4.533543026,19.85418463,January,2024
San Diego,02-01-2024 12:01,23.60733462,68.42762649,0.458333849,6.745694687,January,2024
San Jose,19-03-2024 19:28,-2.987866189,64.40656586,9.436132823,1.20818192,March,2024
Los Angeles,05-03-2024 06:39,9.9637328,62.24684257,7.405120953,28.57123078,March,2024
Dallas,25-02-2024 23:44,3.064299004,86.86180232,3.491708749,23.00142815,February,2024
Chicago,27-03-2024 15:49,-6.609185776,68.62681408,8.00982916,1.73771267,March,2024
San Jose,03-05-2024 00:42,27.08457413,51.32054764,6.652811718,12.884596,May,2024
Chicago,15-03-2024 19:23,12.5670514,36.02229393,7.670080349,4.088997919,March,2024
Los Angeles,23-04-2024 21:59,28.86325244,37.04110677,0.192282897,25.06743104,April,2024
Philadelphia,10-03-2024 04:21,2.016325879,57.28071298,7.478862128,1.933073315,March,2024
Chicago,22-03-2024 11:54,-0.866719562,78.54892593,5.927897761,19.22113423,March,2024
Houston,08-04-2024 19:56,-9.455088862,64.66914603,9.30604795,8.842658596,April,2024
Philadelphia,01-01-2024 06:47,36.72421838,49.80766168,2.107958164,6.196403028,January,2024
Houston,29-02-2024 17:23,-9.259420361,83.86576733,7.139106237,6.796774739,February,2024
Houston,12-05-2024 11:21,-8.351635085,81.36815415,6.634491328,11.68564987,May,2024
San Antonio,28-02-2024 11:06,1.105839997,75.35374203,6.132640114,3.809638667,February,2024
Houston,26-04-2024 01:56,3.656623893,36.76898368,6.200264228,17.84641481,April,2024
Dallas,02-03-2024 04:49,-9.359910213,75.70621966,8.772447875,27.71071192,March,2024
San Diego,27-03-2024 12:32,22.92993152,82.3514676,9.745350383,6.968079364,March,2024
Los Angeles,22-04-2024 03:54,14.1423936,46.99437317,8.048825543,9.039119011,April,2024
San Antonio,09-02-2024 07:46,34.88814758,68.84872502,1.263153462,29.08630832,February,2024
San Diego,16-02-2024 22:09,35.26814276,31.44227833,7.44823816,23.39900388,February,2024
San Jose,16-04-2024 03:44,17.19970718,71.42930031,8.90E-06,4.665638012,April,2024
Los Angeles,18-03-2024 13:22,-1.803073046,48.80580452,6.232834202,11.99831434,March,2024
